Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,Network_Status,Site_ID,Hour
CELL001,-93,11,30,121,2.2,108,Degraded,Site_D,2
CELL002,-88,19,22,142,0.0,145,Healthy,Site_B,3
CELL003,-86,29,22,153,0.6,97,Healthy,Site_B,7
CELL004,-103,2,67,53,5.3,189,Congested,Site_E,1
CELL005,-87,30,22,173,0.3,126,Healthy,Site_D,0
CELL006,-83,21,13,131,0.5,142,Healthy,Site_B,15
CELL007,-87,25,22,125,0.5,129,Healthy,Site_A,6
CELL008,-92,12,38,110,1.2,102,Degraded,Site_D,20
CELL009,-100,16,47,86,2.2,138,Degraded,Site_E,3
CELL010,-82,30,30,130,0.4,108,Healthy,Site_A,16
CELL011,-97,19,26,125,2.5,182,Degraded,Site_D,16
CELL012,-98,16,36,86,0.7,143,Degraded,Site_D,7
CELL013,-82,25,27,144,0.8,150,Healthy,Site_B,21
CELL014,-102,3,109,23,6.0,244,Congested,Site_A,2
CELL015,-89,25,29,157,0.5,120,Healthy,Site_A,17
CELL016,-88,28,24,169,0.4,106,Healthy,Site_C,7
CELL017,-83,21,21,159,0.5,101,Healthy,Site_A,6
CELL018,-81,20,12,129,0.8,128,Healthy,Site_C,22
CELL019,-84,19,24,149,0.8,85,Healthy,Site_D,5
CELL020,-91,16,33,106,1.7,140,Degraded,Site_C,11
CELL021,-80,23,21,163,0.5,123,Healthy,Site_B,4
CELL022,-89,20,16,141,0.3,131,Healthy,Site_C,8
CELL023,-99,19,49,116,0.8,180,Degraded,Site_C,20
CELL024,-114,1,60,14,8.5,308,Congested,Site_B,19
CELL025,-89,20,19,134,0.5,152,Healthy,Site_E,2
CELL026,-90,29,15,156,0.2,109,Healthy,Site_A,18
CELL027,-87,19,23,179,0.0,93,Healthy,Site_B,23
CELL028,-112,3,75,11,5.2,317,Congested,Site_A,5
CELL029,-89,19,27,165,0.5,137,Healthy,Site_A,12
CELL030,-88,18,12,126,0.5,92,Healthy,Site_C,13
CELL031,-80,27,17,168,0.9,100,Healthy,Site_E,11
CELL032,-82,30,10,138,0.7,115,Healthy,Site_A,7
CELL033,-102,1,104,70,8.7,340,Congested,Site_D,20
CELL034,-84,18,17,147,0.6,92,Healthy,Site_D,8
CELL035,-98,20,27,117,0.9,153,Degraded,Site_C,21
CELL036,-95,10,24,107,2.8,119,Degraded,Site_C,2
CELL037,-100,13,37,101,2.4,112,Degraded,Site_C,22
